	Kanji	Romaji	Title	Screenplay	Art	Animation	Direction	Chapters	Episode_num
253	怒り爆発！クロVSルフィ決着の行方！	Ikari bakuhatsu! Kuro tai Rufi ketchaku no yukue!	Completely Infuriated! Kuro vs. Luffy, Final Battle!	武上純希 - Junki Takegami	吉田智子 - Tomoko Yoshida	袴田裕二 - Yuji Hakamada	門田英彦 - Hidehiko Kadota	Chapter 39 (p. 13-19) ::: Chapter 40 (p. 2-19) ::: Chapter 41 (p. 2-18)	Episode 17
254	招かれざる客！サンジの飯とギンの恩	Manekarezaru kyaku! Sanji no meshi no Gin no on	An Unexpected Guest! Sanji's Food and Gin's Grace	武上純希 - Junki Takegami	千田国広 - Kunihiro Senda	高木雅之 - Masayuki Takagi	門田英彦 - Hidehiko Kadota	Chapter 44 (p. 2-21) ::: Chapter 45 (p. 2-19)	Episode 21
255	鷹の目のミホーク！剣豪ゾロ海に散る	Taka no me no Mihōku! Kengō Zoro umi ni chiru	Hawk-Eyes Mihawk! Swordsman Zoro Falls into the Sea!	島田満 - Michiru Shimada	佐南友理 - Yuri Sanami	袴田裕二 - Yuji Hakamada	門田英彦 - Hidehiko Kadota	Chapter 50 (p. 2-19) ::: Chapter 51 (p. 2-19) ::: Chapter 52 (p. 3-21)	Episode 24
256	旅立ち！海のコックはルフィとともに	Tabidachi! Umi no kokku wa Rufi to tomo ni	Departure! Sea Chef and Luffy Travel Together!	武上純希 - Junki Takegami	吉田智子 - Tomoko Yoshida	小泉昇 - Noboru Koizumi	門田英彦 - Hidehiko Kadota	Chapter 67 (p. 2-19) ::: Chapter 68 (p. 2-19)	Episode 30
257	秘められた過去！女戦士ベルメール！	Himerareta kako! Onna Senshi Berumēru!	The Hidden Past! Female Fighter Bell-mère!	島田満 - Michiru Shimada	千田国広 - Kunihiro Senda	高木雅之 - Masayuki Takagi	門田英彦 - Hidehiko Kadota	Chapter 77 (p. 4-18) ::: Chapter 78 (p. 2-4)	Episode 35
258	炸裂！魚人アーロン海からの猛攻撃！	Sakuretsu! Gyojin Āron umi kara no mōkōgeki!	Bursting Out! Fish-Man Arlong, Fearsome Attack From The Sea!	島田満 - Michiru Shimada	吉田智子 - Tomoko Yoshida	高木雅之 - Masayuki Takagi	門田英彦 - Hidehiko Kadota	Chapter 90 (p. 8-19) ::: Chapter 91 (p. 2-19) ::: Chapter 92 (p. 2-19)	Episode 42
259	お待ちかね！あぁ復活のバギー船長！	Omachi ka ne! Aa fukkatsu no Bagī Senchō	You've Been Waiting For It! The Return of Captain Buggy!	武上純希 - Junki Takegami	佐藤美幸 - Miyuki Sato	滝川和男 - Kazuo Takigawa	門田英彦 - Hidehiko Kadota	Chapters 36 :::  55 :::  57-60 :::  62-63 :::  65-68 ::: 71-75 (p. 1)	Episode 47
260	バギーのリベンジ! 処刑台で笑う男!	Bagī no ribenji! Shokeidai de warau otoko!	Buggy's Revenge! The Man who Smiles at the Execution Platform!	島田満 - Michiru Shimada	佐南友理 - Yuri Sanami	袴田裕二 - Yuji Hakamada	門田英彦 - Hidehiko Kadota	Chapter 98 (p. 3-19) ::: Chapter 99 (p. 2-19) ::: Chapter 100 (p. 1)	Episode 52
261	エリック出撃！軍艦島からの大脱出！	Erikku shutsugeki! Gunkanjima kara no dai dasshutsu!	Eric's Raid! Great Escape from Warship Island!	武上純希 - Junki Takegami	佐南友理 - Yuri Sanami	久田和也 - Kazuya Hisada	門田英彦 - Hidehiko Kadota	Filler	Episode 56
262	怒りの決着！赤い大陸（レッドライン）を乗り越えろ！	Ikari no Ketchaku! Reddo Rain o Norikoero!	Angry Finale! Cross the Red Line!	武上純希 - Junki Takegami	千田国広 - Kunihiro Senda	横山健次 - Kenji Yokoyama	門田英彦 - Hidehiko Kadota	Chapter 101 (p. 2-4 :::  11-19)	Episode 61
263	真剣勝負！ルフィVSゾロ謎の大決闘！	Shinken Shōbu! Rufi tai Zoro Nazo no Dai Kettō	A Serious Fight! Luffy vs. Zoro: The Baffling Duel!	島田満 - Michiru Shimada	千田国広 - Kunihiro Senda	袴田裕二 - Yuji Hakamada	門田英彦 - Hidehiko Kadota	Chapter 110 (p. 16-19) ::: Chapter 111 (p. 2-18) ::: Chapter 112 (p. 2-19)	Episode 66
264	でっかい決闘！巨人ドリーとブロギー	Dekkai kettō! Kyojin Dorī to Burogī	Humongous Battle! The Giants Dorry and Brogy!	武上純希 - Junki Takegami	内川文広 - Fumihiro Uchikawa	井手武生  - Takeo Ide	門田英彦 - Hidehiko Kadota	116 (pp. 2-19) ::: 118 (pp. 11-17)	Episode 71
265	雪の住む島！ドラムロッキーを登れ！	Yuki no sumu shima! Doramu Rokkī o nobore!	Island that Lives in Snow! Ascend The Drum Rockies!	島田満 - Michiru Shimada	佐南友理 - Yuri Sanami	高木雅之 - Masayuki Takagi	門田英彦 - Hidehiko Kadota	138 (pp. 2-19) ::: 139 (pp. 2-11) ::: 141 (pp. 2-3)	Episode 83
266	動物（ゾオン）系悪魔の実! チョッパー七段変形	Zōn-kei Akuma no Mi! Choppā Nanadan Henkei	Zoan Type Devil's Fruit! Chopper's Seven-Level Transformation	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato	真庭秀明 - Hideaki Naniwa	門田英彦 - Hidehiko Kadota	Chapter 147 (p. 3-4 :::  12-14) ::: Chapter 148 (p. 2-4 :::  11-19) ::: Chapter 149 (p. 2-19) ::: Chapter 150 (p. 2-5) ::: 	Episode 88
267	エースとルフィ！熱き想いと兄弟の絆	Ēsu to Rufi! Atsuki omoi to kyōdai no kizuna	Ace and Luffy! Warm Memories and Brotherly Bonds	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	真庭秀明 - Hideaki Naniwa	門田英彦 - Hidehiko Kadota	Chapter 159 (p. 2-4 :::  7-12 :::  14-19) ::: 	Episode 95
268	陽炎の決闘！エースVS男スコーピオン	Yōen no Kettō! Ēsu tai Otoko Sukōpion	Heat Haze Duel! Ace vs. Scorpion Man	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	横山健次 - Kenji Yokoyama	門田英彦 - Hidehiko Kadota	Chapter 159 (p. 13) ::: 	Episode 101
269	絶体絶命の罠！レインディナーズ突入	Zettai zetsumei no wana! Rein dināzu totsunyū	Trap in a Desperate Situation! Breaking Into Rain Dinners	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato ::: 内川文広 - Fumihiro Uchikawa	井手武生  - Takeo Ide	門田英彦 - Hidehiko Kadota	Chapter 169 (p. 2-19) ::: Chapter 170 (p. 2-19) ::: 	Episode 106
270	嘆きのアルバーナ！激闘カルー隊長！	Nageki no Arubāna! Gekitō Karū taichō	Alubarna is Crying! Fierce Fight of Captain Karoo!	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato ::: 千田国広 - Kunihiro Senda	久田和也 - Kazuya Hisada	門田英彦 - Hidehiko Kadota	Chapter 182 (p. 18-19) ::: Chapter 183 (p. 3-19) ::: Chapter 184 (p. 2-13) ::: 	Episode 113
271	戦いは終わった！コーザが掲げた白い旗	Tatakai wa owatta! Kōza ga ageta shiroi hata	The Battle is Over! Koza Flies the White Flag	武上純希 - Junki Takegami	佐藤美幸 - Miyuki Sato ::: 千田国広 - Kunihiro Senda	久田和也 - Kazuya Hisada	門田英彦 - Hidehiko Kadota	Chapter 196 (p. 2-19) ::: Chapter 197 (p. 2-19) ::: 	Episode 120
272	偉大なる翼！我が名は国の守護神ペル	Idai naru tsubame! Wa ga na wa kuno no shigoshin Peru	Magnificent Wings! My Name is Pell, Guardian Spirit of the Kingdom	菅良幸 - Yoshiyuki Suga	佐藤美幸 - Miyuki Sato ::: 丸森俊昭 - Toshiaki Marumori	真庭秀明 - Hideaki Naniwa	門田英彦 - Hidehiko Kadota	Chapter 206 (p. 2-19) ::: Chapter 207 (p. 2-19) ::: Chapter 208 (p. 2-5 :::  10-19) ::: 	Episode 125
273	受け継がれる夢（レシピ）！カレーの鉄人サンジ	Uketsugareru Reshipi! Karē no Tetsujin Sanji	Inherited Recipe! Sanji the Curry Iron Chef	武上純希 - Junki Takegami	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	高木雅之 - Masayuki Takagi	門田英彦 - Hidehiko Kadota	Filler	Episode 133
274	虹色の霧伝説！ルルカ島の老人ヘンゾ	Nijiiro no kiri densetsu! Ruruka-tō no rōjin Henzo	Legend of the Rainbow Mist! Ruluka Island and the Old Man Henzo!	山口亮太 - Ryōta Yamaguchi	吉田智子 - Tomoko Yoshida	高木雅之 - Masayuki Takagi	門田英彦 - Hidehiko Kadota	Filler	Episode 139
275	奪われた記録（ログ）! サルベージ王マシラ!	Ubawareta Rogu! Sarubēji Ō Mashira!	The Log is Taken! Salvage King, Masira!	菅良幸 - Yoshiyuki Suga	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	井手武生  - Takeo Ide	門田英彦 - Hidehiko Kadota	218 p.14-18 :::  219 p.2-19 ::: 220 p.2-19	Episode 144
276	幻想は叶わない！?ベラミーVS猿山連合	Gensō wa Kanawanai!? Beramī tai Saruyama Rengō	Dreams Don't Come True!? Bellamy vs. The Saruyama Alliance	菅良幸 - Yoshiyuki Suga	佐藤美幸 - Miyuki Sato ::: 福澤久美子 - Kumiko Fukuzawa	横山健次 - Kenji Yokoyama	門田英彦 - Hidehiko Kadota	231 p.2-19 ::: 232 p.2-10	Episode 150
277	禁断の聖地！神の住む島と天の裁き！	Kindan no seichi! Kami no sumu shima to ten no sabaki!	None	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	木下ゆうき - Yūki Kinoshita	門田英彦 - Hidehiko Kadota	241 (p.2-19) ::: 242 (p.2-3)	Episode 155
278	生存率10%！心綱（マントラ）使いの神官サトリ！	Seizonritsu Jū Pāsento! Mantora Tsukai no Shinkan Satori!	Survival Rate: 10%! Priest Satori with the Power of Mantra!	菅良幸 - Yoshiyuki Suga	佐藤美幸 - Miyuki Sato ::: 福澤久美子 - Kumiko Fukuzawa	舘直樹 - Naoki Tate	門田英彦 - Hidehiko Kadota	246 p.2-20 ::: 247 p.2-6	Episode 160
279	沼の試練！チョッパーVS神官ゲダツ！！	Numa no Shiren! Choppā tai Shinkan Gedatsu!!	Ordeal of Swamp!! Chopper vs Priest Gedatsu!	菅良幸 - Yoshiyuki Suga	佐藤美幸 - Miyuki Sato ::: 福澤久美子 - Kumiko Fukuzawa	横山健次 - Kenji Yokoyama	門田英彦 - Hidehiko Kadota	261 p.12-14 :::  262 p.2-19 :::  263 p.2-4	Episode 172
280	ほとばしる斬撃！ゾロVS神官オーム！！	Hotobashiru Zangeki! Zoro tai Shinkan Ōmu!!	Gushing Blade Attack! Zoro vs Priest Ohm!!	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato ::: 福澤久美子 - Kumiko Fukuzawa	木下ゆうき - Yūki Kinoshita	門田英彦 - Hidehiko Kadota	271 p.9-18 ::: 272 p.5-13	Episode 178
281	絶望への狂想曲（カプリッチオ）迫り来る空島の消滅!!	Zetsubō e no Kapuritchio Semari Kuru Sorajima no Shōmetsu!!	Capriccio to Destruction! The Impending Doom of Sky Island!!	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 	高木雅之 - Masayuki Takagi	門田英彦 - Hidehiko Kadota	284 p.17-18 :::  285 p.2-19 ::: 286 p.2-8	Episode 186
282	神の国の奇跡！天使に届いた島の歌声（ラブ・ソング）	Kami no Kuni no Kiseki! Tenshi ni Todoita Rabu Songu	The Miracle in God's Country! A Love Song Heard by Angels	上坂浩彦 - Hirohiko Kamisaka	吉田智子 - Tomoko Yoshida	久田和也 - Kazuya Hisada	門田英彦 - Hidehiko Kadota	297 p.4-19 ::: 298 p.2-19	Episode 192
283	熱血特別部隊参戦！ブリッジ攻防戦！	Nekketsu tokubetsu butai sansen! Burijji Kōbōsen!	None	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	横山健次 - Kenji Yokoyama	門田英彦 - Hidehiko Kadota	Filler	Episode 201
284	第一回戦！ぐるり一周ドーナツレース	Dai ikkaisen! Gururi isshū Dōnatsu Rēsu	Round 1! One Lap of the Donut Race	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 福澤久美子 - Kumiko Fukuzawa	横山健次 - Kenji Yokoyama	門田英彦 - Hidehiko Kadota	Chapter 306 (p. 16-19) ::: Chapter 307 (p. 2-19) ::: 	Episode 209
285	断崖の決戦！だるまさんがころんだ！	Dangai no kessen! Daruma-san ga koronda!	Final Match on the Edge! Dharma has Fallen!	菅良幸 - Yoshiyuki Suga	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	高木雅之 - Masayuki Takagi	門田英彦 - Hidehiko Kadota	313 p.10	Episode 216
286	牙をむくゾロ! 立ちはだかった野獣	Kiba o muku Zoro! Tachihadakatta yajū	Zoro Sharpens His Fangs! A Fight With a Wild Beast!	武上純希 - Junki Takegami ::: 小山仁 - Hito Koyama (assistant)	佐藤美幸 - Miyuki Sato ::: 内川文広 - Fumihiro Uchikawa	横山健次 - Kenji Yokoyama	門田英彦 - Hidehiko Kadota	Filler	Episode 223
287	海軍本部大将青キジ! 最高戦力の脅威	Kaigun honbu taishō Aokiji! Saikō senryoku no kyōi	Marine High Admiral Aokiji! The Threat of the Greatest Power	菅良幸 - Yoshiyuki Suga	佐藤美幸 - Miyuki Sato ::: 千田国広 - Kunihiro Senda	久田和也 - Kazuya Hisada	門田英彦 - Hidehiko Kadota	319 p.2-19 ::: 320 p.2-14	Episode 227
288	仲間救出！殴りこみフランキーハウス	Nakama kyūshutsu! Nagarikomi Furankī Hausu	Rescuing a Crewmate! The Raid on the Franky House	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 千田国広 - Kunihiro Senda	横山健次 - Kenji Yokoyama	門田英彦 - Hidehiko Kadota	329 p.12-19 :::  330 p.2-17 :::  331 p.2-3	Episode 234
289	ロビンを捕まえろ! 麦わら一味の決意	Robin o tsukamaero! Mugiwara ichimi no ketsui	Catch Robin! The Determination of the Straw Hat Pirates	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 下川忠海 - Tadami Shimokawa	高木雅之 - Masayuki Takagi	門田英彦 - Hidehiko Kadota	340 p.16-19 :::  341 p.2-19 ::: 342 p.2-4	Episode 241
290	帰って来いロビン!CP9との対決!	Kaette Koi Robin! Shī-Pī Nain to no Taiketsu!	Come Back, Robin! The Confrontation with CP9	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 下川忠海 - Tadami Shimokawa	杉本光司 - Kouji Sugimoto ::: 松下清志 - Kiyoshi Matsushita	門田英彦 - Hidehiko Kadota	347 p.4-19 ::: 348 p.2-20	Episode 245
291	海賊誘拐事件と死を待つだけの海賊船	Kaizoku yūkai jiken to shi o matsu dake no kaizokusen	The Pirate Kidnapping Incident and the Pirate Ship Waits for Death!	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 	舘直樹 - Naoki Tate	宮元宏彰 - Hiroaki Miyamoto	328 p.2-19 ::: 329 p.2-11	Episode 233
292	永遠の別れ? 闇を引く女ニコ・ロビン	Eien no wakare? Yami o hiku onna Niko Robin	An Eternal Farewell? Nico Robin, The Woman Who Bears Darkness	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	久田和也 - Kazuya Hisada	宮元宏彰 - Hiroaki Miyamoto	339 p.10-19 ::: 340 p.2-15	Episode 240
293	フランキーの過去！海列車が走った日	Furankī no kako! Umi ressha ga hashitta hi	Franky's Past! The Day the Sea Train First Ran!	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	久田和也 - Kazuya Hisada	宮元宏彰 - Hiroaki Miyamoto	352 p.8-18 :::  353 p.2-3 :::  9-19 :::  354 p.2-19	Episode 248
294	仲間を救え！拳に誓った敵同士の絆！	Nakama o sukue! Kobushi ni chikatta teki dōshi no kizuna!	Rescue our Friends! The Oath that Links the Enemies	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 川崎美千代 - Michiyo Kawasaki	井手武生  - Takeo Ide	宮元宏彰 - Hiroaki Miyamoto	358 p.2 :::  5-11 ::: 366 p.2-14	Episode 256
295	司法の島！エニエス・ロビーの全貌！	Shihō no shima! Eniesu Robī no zenbō	The Judiciary Island! The Full Picture of Enies Lobby!	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 福澤久美子 - Kumiko Fukuzawa	石塚勝海 - Katsumi Ishizuka	宮元宏彰 - Hiroaki Miyamoto	374 p.14-19 ::: 375 p.2-13	Episode 263
296	ルフィに追いつけ！麦わら一味総力戦	Rufi ni oitsuke! Mugiwara ichimi sōryokusen	Catch Up with Luffy! The Straw Hat Pirates' All-Out War	上坂浩彦 - Hirohiko Kamisaka	白石美穂 - Miho Shiraishi ::: 内川文広 - Fumihiro Uchikawa	久田和也 - Kazuya Hisada	宮元宏彰 - Hiroaki Miyamoto	381 p.2-18 ::: 382 p.2-8	Episode 268
297	ロビンの過去！悪魔と呼ばれた少女！	Robin no kako! Akuma to yobareta shōjo!	Robin's Past! The Girl Who Was Called a Demon!	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 千田国広 - Kunihiro Senda	小泉昇 - Noboru Koizumi	宮元宏彰 - Hiroaki Miyamoto	391 p.3-19 ::: 392 p.2-19	Episode 275
298	死んでも蹴らん！サンジ男の騎士道！	Shindemo keran! Sanji otoko no kishidō	Even if I Die, I Won't Kick you! Sanji's Manly Chivalry	菅良幸 - Yoshiyuki Suga	佐藤美幸 - Miyuki Sato ::: 千田国広 - Kunihiro Senda	高木雅之 - Masayuki Takagi	宮元宏彰 - Hiroaki Miyamoto	Chapter 402 (p. 8-19) ::: Chapter 403 (p. 2-15) ::: 	Episode 287
299	泡使いカリファ！ナミに迫る石鹸の罠	Awatsukai Karifa! Nami ni semaru sekken no wana	Bubble User Kalifa! Nami Draws Near to the Soap's Trap	菅良幸 - Yoshiyuki Suga	白石美穂 - Miho Shiraishi ::: 内川文広 - Fumihiro Uchikawa	横山健次 - Kenji Yokoyama	宮元宏彰 - Hiroaki Miyamoto	Chapter 407 p.14-19  :::  Chapter 408 p.2.19	Episode 293
300	白刃の猛襲！ゾロ対カク強力斬撃対決	Hakujin no mōgeki! Zoro tai Kaku kyōryoku sangeki taiketsu	None	菅良幸 - Yoshiyuki Suga	佐藤美幸 - Miyuki Sato ::: 福澤久美子 - Kumiko Fukuzawa	横山健次 - Kenji Yokoyama	宮元宏彰 - Hiroaki Miyamoto	416 p.3-19 ::: 417 p.2-11	Episode 299
301	破られた安息！愛の拳を持つ海軍中将	Yaburareta Ansoku! Ai no Kobushi o Motsu Kaigun Chūjō	The Disturbance of Peace! The Vice-Admiral with the Fist of Love	古賀直樹 - Koga Naoki	佐藤美幸 - Miyuki Sato ::: 福澤久美子 - Kumiko Fukuzawa	横山健次 - Kenji Yokoyama	宮元宏彰 - Hiroaki Miyamoto	431 p.2-19	Episode 313
302	サニー号ピンチ！唸れ超速の秘密メカ	Sanī-gō Pinchi! Unare Chōsoku no Himitsu Meka	Sunny in a Pinch! Roar, Secret Superspeed Mecha	菅良幸 - Yoshiyuki Suga	佐藤美幸 - Miyuki Sato ::: 塩崎広光 - Hiromitsu Shiozaki	横山健次 - Kenji Yokoyama	宮元宏彰 - Hiroaki Miyamoto	Filler	Episode 327
303	新世界で待つ！勇ましき海賊との別れ	Shinsekai de Matsu! Isamashiki Kaizoku to no Wakare	Waiting in the New World! Farewell to the Courageous Pirates	古賀直樹 - Koga Naoki	佐藤美幸 - Miyuki Sato ::: 	横山健次 - Kenji Yokoyama	宮元宏彰 - Hiroaki Miyamoto	Filler	Episode 335
304	残る騎士道！ナミを守る裏切りゾンビ	Nokoru Kishidō! Nami o Mamoru Uragiri Zonbi	Leftover Chivalry! The Traitorous Zombie Protects Nami	古賀直樹 - Koga Naoki	白石美穂 - Miho Shiraishi ::: 常盤庄司 - Shouji Tokiwa	井上栄作 - Eisaku Inoue	宮元宏彰 - Hiroaki Miyamoto	453 p.2-19	Episode 347
305	魚人島目指して上陸　シャボンディ諸島	Gyojintō Mezashite Jōriku - Shabondi Shotō	Disembarking With Sights Set On Fish-Man Island - The Sabaody Archipelago	上坂浩彦 - Hirohiko Kamisaka	吉池隆司 - Ryūji Yoshiike	島貫正弘 - Masahiro Shimanuki	宮元宏彰 - Hiroaki Miyamoto	496 p.2-19	Episode 390
306	消された仲間たち 麦わら一味最後の日	Kiesareta Nakama-tachi - Mugiwara Ichimi Saigo no Hi	Disappearing Crew - The Final Day of the Straw Hat Crew	上坂浩彦 - Hirohiko Kamisaka	白石美穂 - Miho Shiraishi	高木雅之 - Masayuki Takagi	宮元宏彰 - Hiroaki Miyamoto	513 p.2-19	Episode 405
307	映画連動特別編（スペシャル） 動き出す金獅子の野望	Eiga Rendō Supesharu - Ugokidasu Kinjishi no Yabō	Movie-connected Special - The Gold Lion's Ambition Moves Forward	上坂浩彦 - Hirohiko Kamisaka	白石美穂 - Miho Shiraishi	新垣重文 - Shigefumi Shingaki	宮元宏彰 - Hiroaki Miyamoto	Strong World Prologue	Episode 426
308	雌雄決す! 捨て身のルフィ最後の一撃	Shiyū Kessu! Sutemi no Rufi Saigo no Ichigeki	The Fight Finished! Luffy's Final Life Risking Attack	田中仁 - Hitoshi Tanaka	佐藤美幸 - Miyuki Sato	新垣重文 - Shigefumi Shingaki	宮元宏彰 - Hiroaki Miyamoto	535 p.2-11	Episode 436
309	決戦の刻迫る！ 海軍最強の布陣完成！	Kessen no Toki Semaru! Kaigun Saikyō no Fujin Kansei!	None	菅良幸 - Yoshiyuki Suga	吉池隆司 - Ryūji Yoshiike	横山健次 - Kenji Yokoyama	宮元宏彰 - Hiroaki Miyamoto	549 p.18-19 :::  550 p.2-19 :::  551 p.2	Episode 459
310	包囲壁作動! 白ひげ海賊団絶体絶命!!	Hōiheki Sadō! Shirohige Kaizoku-dan Zettaizetsumei!!	None	田中仁 - Hitoshi Tanaka	白石美穂 - Miho Shiraishi	久田和也 - Kazuya Hisada	宮元宏彰 - Hiroaki Miyamoto	564 p.2-17	Episode 473
311	答えを探して 火拳のエース戦場に死す	Kotae o Sagashite - Hiken no Ēsu Senjō ni Shisu	Looking for the Answer - Fire Fist Ace Dies on the Battlefield	上坂浩彦 - Hirohiko Kamisaka	白石美穂 - Miho Shiraishi	久田和也 - Kazuya Hisada	宮元宏彰 - Hiroaki Miyamoto	574 p.2-17	Episode 483
312	大虎との決戦! 船長になるのは誰だ!	Ōtora to no Kessen! Senchō ni Naru no wa Dare da!	The Battle Against the Big Tiger! Who Will Be the Captain?!	上坂浩彦 - Hirohiko Kamisaka	吉池隆司 - Ryūji Yoshiike	高木雅之 - Masayuki Takagi	宮元宏彰 - Hiroaki Miyamoto	Filler	Episode 499
313	新章開幕 再集結! 麦わらの一味	Shinshō Kaimaku - Saishūketsu! Mugiwara no Ichimi	A New Chapter Begins - The Straw Hat Crew Reunites!	上坂浩彦 - Hirohiko Kamisaka	吉池隆司 - Ryūji Yoshiike	久田和也 - Kazuya Hisada	宮元宏彰 - Hiroaki Miyamoto	598 p.1-3 :::  6-16 :::  19 :::  23-24	Episode 517
314	しらほしの涙! ルフィ遂に登場	Shirahoshi no Namida! Rufi Tsuini Tōjō	Shirahoshi's Tears! Luffy Finally Appears	上坂浩彦 - Hirohiko Kamisaka	白石美穂 - Miho Shiraishi	久田和也 - Kazuya Hisada	宮元宏彰 - Hiroaki Miyamoto	633 p.2-19	Episode 553
315	ついに決着! ホーディ最終決戦	Tsui ni Ketchaku! Hōdi Saishū Kessen	It's Finally Settled! The Final Decisive Battle Against Hody	菅良幸 - Yoshiyuki Suga	吉池隆司 - Ryūji Yoshiike	山下恵 - Megumi Yamashita	宮元宏彰 - Hiroaki Miyamoto	645 p.5 :::  8-13 ::: 646 p.2-19	Episode 566
316	一味騒然! 衝撃の首だけ侍登場!	Ichimi Sōzen! Shōgeki no Kubi dake Samurai Tōjō!	The Crew is Confused! The Shocking Beheaded Samurai Appears!	菅良幸 - Yoshiyuki Suga	白石美穂 - Miho Shiraishi	高木雅之 - Masayuki Takagi	宮元宏彰 - Hiroaki Miyamoto	Chapter 656 (p. 18-19) ::: Chapter 657 (p. 2-10) ::: Chapter 658 (p. 13)	Episode 581
317	冒険! 愛と情熱の国ドレスローザ	Bōken! Ai to Jōnetsu no Kuni Doresurōza	Adventure! The Country of Love and Passion, Dressrosa	上坂浩彦 - Hirohiko Kamisaka	白石美穂 - Miho Shiraishi	井手武生  - Takeo Ide	宮元宏彰 - Hiroaki Miyamoto	Chapter 701 (p. 2-16)	Episode 630
318	ゾンビの謎！悪夢のホグバック研究所	Zonbi no Nazo! Akumu no Hogubakku Kenkyūjo	Mystery of the Zombies! Hogback's Nightmarish Research Laboratory	櫻井剛 - Tsuyoshi Sakurai	佐藤美幸 - Miyuki Sato ::: 福澤久美子 - Kumiko Fukuzawa	石塚勝海 - Katsumi Ishizuka	松阪弘 - Hiroshi Matsuzaka	447 pp. 17-19 ::: 448 pp. 2-15 ::: 449 pp. 5-8	Episode 342
319	男の誓いは死なず！！遠い空で待つ友へ	Otoko no Chikai wa Shinazu!! Tōi Sora de Matsu Tomo e	None	上坂浩彦 - Hirohiko Kamisaka	佐藤美幸 - Miyuki Sato ::: 塩崎広光 - Hiromitsu Shiozaki	石塚勝海 - Katsumi Ishizuka ::: 久田和也 - Kazuya Hisada ::: 松岡謙治 - Kenji Matsuoka	松阪弘 - Hiroshi Matsuzaka	458 p.15-19 ::: 459 p.2-12	Episode 353
320	足音なき襲来！！謎の訪問者•暴君くま	Ashioto Naki Shūrai!! Nazo no Hōmonsha: Bōkun Kuma	Soundless Invasion!! The Mysterious Visitor: Kuma the Tyrant	菅良幸 - Yoshiyuki Suga	佐藤美幸 - Miyuki Sato ::: 常盤庄司 - Shouji Tokiwa	横山健次 - Kenji Yokoyama	松阪弘 - Hiroshi Matsuzaka	473 p.2-19	Episode 368
321	ブルックの過去 陽気な仲間悲しき別れ	Burukku no Kako - Yōki na Nakama Kanashiki Wakare	Brook's Past - Sad Farewell to the Cheerful Crew	村山功 - Isao Murayama	佐藤美幸 - Miyuki Sato	>村上直紀 - Naoki Murakami	松阪弘 - Hiroshi Matsuzaka	487 p.2-12	Episode 379
322	怪物登場! 白ひげ一味には手を出すな	Kaibutsu Tōjō! Shirohige Ichimi ni wa te o dasu na	Monsters Appear! Don't Touch the Whitebeard Pirates	菅良幸 - Yoshiyuki Suga	佐藤美幸 - Miyuki Sato ::: 千田国広 - Kunihiro Senda	高木雅之 - Masayuki Takagi	角銅博之 - Hiroyuki Kakudō	221 p.2-19 :::  222 p.2-7 ::: 233 p.8-14	Episode 145
323	船は空をゆく！突き上げる海流（ノックアップストリーム）に乗れ	Fune wa Sora o Yuku! Nokku Appu Sutorīmu ni Nore	Sail into the Sky! Ride the Knock-Up Stream	島田満 - Michiru Shimada	佐藤美幸 - Miyuki Sato ::: 内川文広 - Fumihiro Uchikawa	真庭秀明 - Hideaki Naniwa	角銅博之 - Hiroyuki Kakudō	235 p.2-19 ::: 236 p.2-19	Episode 152
