	Kanji	Romaji	Title	Screenplay	Art	Animation	Direction	Chapters	Episode_num
948	捨てた過去 ヴィンスモーク・サンジ	Suteta Kako - Vinsumōku Sanji	The Past that He Let Go of - Vinsmoke Sanji	米村正二 - Shōji Yonemura	吉池隆司 - Ryūji Yoshiike	久田和也 - Kazuya Hisada	上田芳裕 - Yoshihiro Ueda	Chapter 840 (p. 8-17) ::: 	Episode 803
949	城内（シャトー）潜入 奪え! ロード歴史の本文（ポーネグリフ）	Shatō Sen'nyū - Ubae! Rōdo Pōnegurifu	Invading the Chateau - Reach the Road Poneglyph	米村正二 - Shōji Yonemura	白石美穂 - Miho Shiraishi	高木雅之 - Masayuki Takagi	上田芳裕 - Yoshihiro Ueda	Chapter 846 (p. 12-17) ::: Chapter 847 (p. 2-10) ::: 	Episode 812
950	母 (ソラ) の願い ジェルマの失敗作サンジ	Sora no Negai - Jeruma no Shippaisaku Sanji	Sora's Wish - Germa's Failure, Sanji	田中仁 - Hitoshi Tanaka	吉池隆司 - Ryūji Yoshiike	新垣重文 - Shigefumi Shingaki	上田芳裕 - Yoshihiro Ueda	Chapter 852 (p. 2-13) ::: 	Episode 819
951	密会! ルフィVSファイアタンク海賊団	Mikkai! Rufi tai Faia Tanku Kaizoku-dan	A Secret Meeting! Luffy vs. the Fire Tank Pirates	三浦希紗 - Kisa Miura	吉池隆司 - Ryūji Yoshiike	新垣重文 - Shigefumi Shingaki	上田芳裕 - Yoshihiro Ueda	Chapter 857 (p. 16-17) ::: Chapter 858 (p. 3-15) ::: 	Episode 827
952	死のキス 四皇暗殺作戦開始!	Shi no Kisu - Yonkō Ansatsu Sakusen Kaishi!	The Kiss of Death - The Emperor Assassination Plan Begins!	田中仁 - Hitoshi Tanaka	白石美穂 - Miho Shiraishi	高木雅之 - Masayuki Takagi	上田芳裕 - Yoshihiro Ueda	Chapter 862 (p. 2-17) ::: 	Episode 832
953	兵器 (ランチャー) 炸裂! ビッグ·マム暗殺の瞬間 (とき)	Ranchā Sakuretsu! Biggu Mamu Ansatsu no Toki	The Launcher Blasts! The Moment of Big Mom's Assassination	中山智博 - Tomohiro Nakayama	白石美穂 - Miho Shiraishi	高木雅之 - Masayuki Takagi	上田芳裕 - Yoshihiro Ueda	Chapter 868 (p. 2-15) ::: 	Episode 838
954	プリンの決意 大炎上! 誘惑の森	Purin no Ketsui - Dai Enjō! Yūwaku no Mori	Pudding's Determination - Ablaze! The Seducing Woods	冨岡淳広 - Atsuhiro Tomioka	吉池隆司 - Ryūji Yoshiike	高木雅之 - Masayuki Takagi	上田芳裕 - Yoshihiro Ueda	Chapter 874 (p. 5-19) ::: 	Episode 845
955	波の部屋 (グリーンルーム) 無敵の操舵手ジンベエ	Gurīn Rūmu - Muteki no Sōda-shu Jinbē	The Green Room - An Invincible Helmsman, Jinbe	三浦希紗 - Kisa Miura	吉池隆司 - Ryūji Yoshiike	新垣重文 - Shigefumi Shingaki	上田芳裕 - Yoshihiro Ueda	Chapter 880 (p. 13-17) ::: Chapter 881 (p. 2-10) ::: 	Episode 853
956	突破せよ 麦わらの一味大海戦!	Toppa Seyo - Mugiwara no Ichimi Dai Kaisen!	Break Through - The Straw Hats' Mighty Sea Battle!	三浦希紗 - Kisa Miura	齋藤優 - Yū Saitō	高木雅之 - Masayuki Takagi	上田芳裕 - Yoshihiro Ueda	Chapter 889 (p. 6-17) ::: Chapter 890 (p. 3-5) ::: 	Episode 863
957	遂に帰還 四皇を止める男サンジ	Tsui ni Kikan - Yonkō o Tomeru Otoko Sanji	Finally He Returns - Sanji, the Man Who'll Stop the Emperor	米村正二 - Shōji Yonemura	白石美穂 - Miho Shiraishi	出口としお - Toshio Deguchi	上田芳裕 - Yoshihiro Ueda	Chapter 891 (p. 12-17) ::: Chapter 892 (p. 2-9) ::: 	Episode 866
